grade,lesson_term,subject,unit_order,unit_name,lesson_order,lesson_name
g9,t2,s8,u4,,l1,"Lesson 1 : Hormones in the Human Body"
g9,t2,s8,u3,,l1,"Lesson 1 :The Main Principles of Heredity"
g9,t2,s8,u2,,l3,"Lesson 3 : Radioactivity and Nuclear Energy"
g9,t2,s8,u2,,l2,"Lesson 2 : The  Electric Current and Cells"
g9,t2,s8,u2,,l1,"Lesson 1 :Physical Properties of the Electric Current"
g9,t2,s8,u1,,l2,"Lesson 2:
            Speed of the  Chemical Reactions"
g9,t2,s8,u1,,l1,"Lesson 1:
            Chemical Reactions"
g9,t2,s7,u5,,l7,"7-	Angle of tangency"
g9,t2,s7,u5,,l6,"6-	The relation between the tangents of circle"
g9,t2,s7,u5,,l5,"5-	Properties of Xyclic quadrilaterals"
g9,t2,s7,u5,,l4,"4-	Angle of tangency"
g9,t2,s7,u5,,l3,"3-	The relation between the tangents of circle"
g9,t2,s7,u5,,l2,"2-	Properties of cyclic quadrilaterals"
g9,t2,s7,u5,,l1,"1-	Cyclic quadrilaterals"
g9,t2,s7,u4,,l4,"4-	The Relation Between the Chords of a Circle with its center"
g9,t2,s7,u4,,l3,"3-	Identifying the Circle"
g9,t2,s7,u4,,l2,"2-	Positions of a point, a Straight Line and a Circle with Respect to a Circle"
g9,t2,s7,u4,,l1,"1-	Basic definitions and concepts"
g9,t2,s7,u3,,l2,"2-	complementary event and the difference between two events"
g9,t2,s7,u3,,l1,"1-	Operations on events"
g9,t2,s7,u2,,l4,"4-	Operations on algebraic fractions"
g9,t2,s7,u2,,l3,"3-	Equality of two algebraic fractions"
g9,t2,s7,u2,,l2,"2-	Algebraic fractional function"
g9,t2,s7,u2,,l1,"1-	Set of zeros of a polynomial function"
g9,t2,s7,u1,,l3,"3-	Solving two equations in two variables, one is of first degree and the other is of second degree"
g9,t2,s7,u1,,l2,"2-	Solving an equation of second degree in one known Graphically and Algebraically"
g9,t2,s7,u1,,l1,"1-	solving two equations of first degree in two variables Graphically and Algebraically"
g9,t2,s6,u8,,l2,"Lesson 2"
